Districts/Neighborhoods,County,Routes Served,Name,Route,Route Type,Lat,Lon,City
Industrial District,King,5,4th Ave S & S Royal Brougham Way,5 - Shoreline Community College - Seattle,Seattle,47.593342,-122.328957,Seattle
International District,King,5,4th Ave S & S Jackson St,5 - Shoreline Community College - Seattle,Seattle,47.599827,-122.328972,Seattle
Pioneer Square,King,5,3rd Ave & James St,5 - Shoreline Community College - Seattle,Seattle,47.602642,-122.331184,Seattle
Central Business District,King,5,3rd Ave & Madison St,5 - Shoreline Community College - Seattle,Seattle,47.605541,-122.333832,Seattle
Central Business District,King,5,3rd Ave & Union St,5 - Shoreline Community College - Seattle,Seattle,47.608688,-122.336700,Seattle
Central Business District,King,5,3rd Ave & Pine St,5 - Shoreline Community College - Seattle,Seattle,47.611137,-122.338951,Seattle
"Belltown, Denny Regrade",King,1,3rd Ave & Virginia St,5 - Shoreline Community College - Seattle,Seattle,47.612995,-122.341743,Seattle
"Belltown, Denny Regrade",King,1,3rd Ave & Bell St,5 - Shoreline Community College - Seattle,Seattle,47.615120,-122.345337,Seattle
,King,5,7th Ave N & Denny Way,5 - Shoreline Community College - Seattle,Seattle,47.619087,-122.343445,Seattle
,King,5,7th Ave N & Harrison St,5 - Shoreline Community College - Seattle,Seattle,47.621895,-122.343506,Seattle
"Cascade, Westlake",King,5,Aurora Ave N & Prospect St,5 - Shoreline Community College - Seattle,Seattle,47.629238,-122.343353,Seattle
"Cascade, Westlake",King,5,Aurora Ave N & Galer St,5 - Shoreline Community College - Seattle,Seattle,47.632572,-122.343323,Seattle
"Cascade, Westlake",King,5,Aurora Ave N & Crockett St,5 - Shoreline Community College - Seattle,Seattle,47.637405,-122.344185,Seattle
Queen Anne,King,5,Aurora Ave N & Lynn St,5 - Shoreline Community College - Seattle,Seattle,47.638874,-122.345200,Seattle
Queen Anne,King,5,Aurora Ave N & Halladay St,5 - Shoreline Community College - Seattle,Seattle,47.641975,-122.346672,Seattle
Fremont,King,5,Aurora Ave N & N 38th St,5 - Shoreline Community College - Seattle,Seattle,47.652473,-122.346619,Seattle
Fremont,King,5,Fremont Ave N & N 39th St,5 - Shoreline Community College - Seattle,Seattle,47.654400,-122.349815,Seattle
Fremont,King,5,Fremont Ave N & N 41st St,5 - Shoreline Community College - Seattle,Seattle,47.656902,-122.349854,Seattle
Fremont,King,5,N 43rd St & Fremont Ave N,5 - Shoreline Community College - Seattle,Seattle,47.659023,-122.350403,Seattle
Fremont,King,5,Phinney Ave N & N 43rd St,5 - Shoreline Community College - Seattle,Seattle,47.659287,-122.354279,Seattle
