Districts/Neighborhoods,Address,County,Coordinates,OneBusAway Stop ID,Routes Served,Name,Route,Route Type,Agency Stop ID,Parking Spots
Industrial District,"Seattle, WA",King,"47.593342, -122.328957",1_30635,5,4th Ave S & S Royal Brougham Way,5 - Shoreline Community College - Seattle,Seattle,,
International District,"Seattle, WA",King,"47.599827, -122.328972",1_619,5,4th Ave S & S Jackson St,5 - Shoreline Community College - Seattle,Seattle,,
Pioneer Square,"Seattle, WA",King,"47.602642, -122.331184",1_531,5,3rd Ave & James St,5 - Shoreline Community College - Seattle,Seattle,,
Central Business District,"Seattle, WA",King,"47.605541, -122.333832",1_548,5,3rd Ave & Madison St,5 - Shoreline Community College - Seattle,Seattle,,
Central Business District,"Seattle, WA",King,"47.608688, -122.336700",1_570,5,3rd Ave & Union St,5 - Shoreline Community College - Seattle,Seattle,,
Central Business District,"Seattle, WA",King,"47.611137, -122.338951",1_590,5,3rd Ave & Pine St,5 - Shoreline Community College - Seattle,Seattle,,
"Belltown, Denny Regrade","Seattle, WA",King,"47.612995, -122.341743",1_600,1,3rd Ave & Virginia St,5 - Shoreline Community College - Seattle,Seattle,,
"Belltown, Denny Regrade","Seattle, WA",King,"47.615120, -122.345337",1_605,1,3rd Ave & Bell St,5 - Shoreline Community College - Seattle,Seattle,,
,"Seattle, WA",King,"47.619087, -122.343445",1_6236,5,7th Ave N & Denny Way,5 - Shoreline Community College - Seattle,Seattle,,
,"Seattle, WA",King,"47.621895, -122.343506",1_6237,5,7th Ave N & Harrison St,5 - Shoreline Community College - Seattle,Seattle,,
"Cascade, Westlake","Seattle, WA",King,"47.629238, -122.343353",1_6290,5,Aurora Ave N & Prospect St,5 - Shoreline Community College - Seattle,Seattle,,
"Cascade, Westlake","Seattle, WA",King,"47.632572, -122.343323",1_6300,5,Aurora Ave N & Galer St,5 - Shoreline Community College - Seattle,Seattle,,
"Cascade, Westlake","Seattle, WA",King,"47.637405, -122.344185",1_6310,5,Aurora Ave N & Crockett St,5 - Shoreline Community College - Seattle,Seattle,,
Queen Anne,"Seattle, WA",King,"47.638874, -122.345200",1_6320,5,Aurora Ave N & Lynn St,5 - Shoreline Community College - Seattle,Seattle,,
Queen Anne,"Seattle, WA",King,"47.641975, -122.346672",1_6330,5,Aurora Ave N & Halladay St,5 - Shoreline Community College - Seattle,Seattle,,
Fremont,"Seattle, WA",King,"47.652473, -122.346619",1_6340,5,Aurora Ave N & N 38th St,5 - Shoreline Community College - Seattle,Seattle,,
Fremont,"Seattle, WA",King,"47.654400, -122.349815",1_6360,5,Fremont Ave N & N 39th St,5 - Shoreline Community College - Seattle,Seattle,,
Fremont,"Seattle, WA",King,"47.656902, -122.349854",1_6380,5,Fremont Ave N & N 41st St,5 - Shoreline Community College - Seattle,Seattle,,
Fremont,"Seattle, WA",King,"47.659023, -122.350403",1_6400,5,N 43rd St & Fremont Ave N,5 - Shoreline Community College - Seattle,Seattle,,
Fremont,"Seattle, WA",King,"47.659287, -122.354279",1_6420,5,Phinney Ave N & N 43rd St,5 - Shoreline Community College - Seattle,Seattle,,
Fremont,"Seattle, WA",King,"47.662418, -122.353882",1_6440,5,Phinney Ave N & N 46th St,5 - Shoreline Community College - Seattle,Seattle,,
Fremont,"Seattle, WA",King,"47.664959, -122.353874",1_6460,5,Phinney Ave N & N 50th St,5 - Shoreline Community College - Seattle,Seattle,,
Phinney Ridge,"Seattle, WA",King,"47.666897, -122.354324",1_6480,5,Phinney Ave N & N 53rd St,5 - Shoreline Community College - Seattle,Seattle,,
Phinney Ridge,"Seattle, WA",King,"47.668350, -122.354309",1_6490,5,Phinney Ave N & N 55th St,5 - Shoreline Community College - Seattle,Seattle,,
Phinney Ridge,"Seattle, WA",King,"47.670960, -122.354294",1_6510,5,Phinney Ave N & N 58th St,5 - Shoreline Community College - Seattle,Seattle,,
Phinney Ridge,"Seattle, WA",King,"47.672764, -122.354279",1_6520,5,Phinney Ave N & N 60th St,5 - Shoreline Community College - Seattle,Seattle,,
Phinney Ridge,"Seattle, WA",King,"47.675819, -122.354256",1_6540,5,Phinney Ave N & N 64th St,5 - Shoreline Community College - Seattle,Seattle,,
Phinney Ridge,"Seattle, WA",King,"47.677280, -122.354256",1_6550,5,Phinney Ave N & N 67th St,5 - Shoreline Community College - Seattle,Seattle,,
Phinney Ridge,"Seattle, WA",King,"47.678936, -122.355209",1_6565,5,Greenwood Ave N & N 68th St,5 - Shoreline Community College - Seattle,Seattle,,
Phinney Ridge,"Seattle, WA",King,"47.681381, -122.355209",1_6580,5,Greenwood Ave N & N 72nd St,5 - Shoreline Community College - Seattle,Seattle,,
Greenwood,"Seattle, WA",King,"47.683537, -122.355194",1_6590,5,Greenwood Ave N & N 75th St,5 - Shoreline Community College - Seattle,Seattle,,
Greenwood,"Seattle, WA",King,"47.687332, -122.355194",1_6615,5,Greenwood Ave N & N 80th St,5 - Shoreline Community College - Seattle,Seattle,,
Greenwood,"Seattle, WA",King,"47.690968, -122.355209",1_6640,5,Greenwood Ave N & N 85th St,5 - Shoreline Community College - Seattle,Seattle,,
Greenwood,"Seattle, WA",King,"47.692844, -122.355225",1_6650,5,Greenwood Ave N & N 87th St,5 - Shoreline Community College - Seattle,Seattle,,
Greenwood,"Seattle, WA",King,"47.694466, -122.355247",1_6660,5,Greenwood Ave N & N 90th St,5 - Shoreline Community College - Seattle,Seattle,,
Greenwood,"Seattle, WA",King,"47.696289, -122.355278",1_6670,5,Greenwood Ave N & N 92nd St,5 - Shoreline Community College - Seattle,Seattle,,
Greenwood,"Seattle, WA",King,"47.700008, -122.355309",1_6685,5,Greenwood Ave N & N 97th St,5 - Shoreline Community College - Seattle,Seattle,,
Greenwood,"Seattle, WA",King,"47.701737, -122.355316",1_6693,5,Greenwood Ave N & N 100th St,5 - Shoreline Community College - Seattle,Seattle,,
Greenwood,"Seattle, WA",King,"47.703884, -122.355347",1_6710,5,Greenwood Ave N & N 103rd St,5 - Shoreline Community College - Seattle,Seattle,,
Bitter Lake,"Seattle, WA",King,"47.707176, -122.355347",1_6730,5,Greenwood Ave N & N 107th St,5 - Shoreline Community College - Seattle,Seattle,,
Bitter Lake,"Seattle, WA",King,"47.709072, -122.355347",1_6740,5,Greenwood Ave N & N 110th St,5 - Shoreline Community College - Seattle,Seattle,,
Bitter Lake,"Seattle, WA",King,"47.710777, -122.355400",1_6750,5,Greenwood Ave N & N 112th St,5 - Shoreline Community College - Seattle,Seattle,,
Bitter Lake,"Seattle, WA",King,"47.714401, -122.355415",1_6770,5,Greenwood Ave N & N 117th St,5 - Shoreline Community College - Seattle,Seattle,,
Bitter Lake,"Seattle, WA",King,"47.718021, -122.355431",1_6790,5,Greenwood Ave N & N 122nd St,5 - Shoreline Community College - Seattle,Seattle,,
Bitter Lake,"Seattle, WA",King,"47.720032, -122.355438",1_6800,5,Greenwood Ave N & N 125th St,5 - Shoreline Community College - Seattle,Seattle,,
Bitter Lake,"Seattle, WA",King,"47.723671, -122.355453",1_6820,5,Greenwood Ave N & N 130th St,5 - Shoreline Community College - Seattle,Seattle,,
Bitter Lake,"Seattle, WA",King,"47.726650, -122.355438",1_6840,5,Greenwood Ave N & N 134th St,5 - Shoreline Community College - Seattle,Seattle,,
Bitter Lake,"Seattle, WA",King,"47.728973, -122.355453",1_6850,5,Greenwood Ave N & N 137th St,5 - Shoreline Community College - Seattle,Seattle,,
Bitter Lake,"Seattle, WA",King,"47.732136, -122.355453",1_6870,5,Greenwood Ave N & N 143rd St,5 - Shoreline Community College - Seattle,Seattle,,
Bitter Lake,"Seattle, WA",King,"47.733524, -122.355469",1_6880,5,Greenwood Ave N & N 145th St,5 - Shoreline Community College - Seattle,Seattle,,
Highland Terrace,"Shoreline, WA",King,"47.737946, -122.353050",1_75430,5,Dayton Ave N & N 150th St,5 - Shoreline Community College - Seattle,Seattle,,
Highland Terrace,"Shoreline, WA",King,"47.741745, -122.353119",1_75450,5,Dayton Ave N & N 155th St,5 - Shoreline Community College - Seattle,Seattle,,
Highland Terrace,"Shoreline, WA",King,"47.744144, -122.353134",1_75460,5,Dayton Ave N & N 160th St,5 - Shoreline Community College - Seattle,Seattle,,
